Region,Kidney L,Kidney R,Liver,Aorta,Aorta wall,Ventricle,Myocardium,Gall bladder,Pancreas
Kidney L,1,-1.413005473,-9.073718428,0.59722644,-0.603333082,0.5144545969016955,-0.151090889,-1.950075412,0.7705852494672927
Kidney R,-1.413005473,1,-9.990042808,0.029864449175265144,-1.323789033,0.074842441,0.11518293051910136,-1.343956138,0.1823936716951776
Liver,-9.073718428,-9.990042808,1,-5.701608031,-7.12292822,-6.972110173,-6.667557888,0.2989313243310789,-6.312981295
Aorta,0.59722644,0.029864449175265144,-5.701608031,1,0.6681218664216105,0.22173340989399515,-0.067358249,-2.434211578,1.106792914288074
Aorta wall,-0.603333082,-1.323789033,-7.12292822,0.6681218664216105,1,-2.388536701,-0.391984062,-5.220773723,1.3549336203137603
Ventricle,0.5144545969016955,0.074842441,-6.972110173,0.22173340989399515,-2.388536701,1,0.058732982,-2.387016272,0.6287388546261249
Myocardium,-0.151090889,0.11518293051910136,-6.667557888,-0.067358249,-0.391984062,0.058732982,1,-0.604657917,-0.341226069
Gall bladder,-1.950075412,-1.343956138,0.2989313243310789,-2.434211578,-5.220773723,-2.387016272,-0.604657917,1,-2.942766873
Pancreas,0.7705852494672927,0.1823936716951776,-6.312981295,1.106792914288074,1.3549336203137603,0.6287388546261249,-0.341226069,-2.942766873,1
